#支付流水记录
#起始日期：[2026年07月11日 00:00:00]    终止日期：[2026年07月11日 23:59:59]
#---------------------------------------------支付流水明细-------------------------------------------
交易时间,app_id,支付ID,商户订单号,交易类型,交易金额,手续费金额,货币种类,交易状态,第三方订单号,支付完成时间,支付模式,商品描述,花呗分期期数,入账时间,冻结状态,订单描述,微信/支付宝订单号
20260711111155,APP_DEMO_00001,ADAPAYID_DEMO_00017,ORDNO_DEMO_00128,微信小程序支付,14.80,0.00,cny,S,THIRDPAY_DEMO_00005,20260711111200,延时,农家一碗香+木桶饭等,,20260711,,,WXP_DEMO_00079
20260711112036,APP_DEMO_00001,ADAPAYID_DEMO_00018,ORDNO_DEMO_00129,微信小程序支付,14.00,0.00,cny,S,THIRDPAY_DEMO_00006,20260711112041,延时,花猪肉玉米胡萝卜,,20260711,,,WXP_DEMO_00109
20260711112228,APP_DEMO_00001,ADAPAYID_DEMO_00019,ORDNO_DEMO_00130,微信小程序支付,11.80,0.00,cny,S,THIRDPAY_DEMO_00096,20260711112233,延时,【炒饭】自制腊肠猛火鸡蛋火腿炒饭,,20260711,,,WXP_DEMO_00050
20260711112431,APP_DEMO_00001,ADAPAYID_DEMO_00020,ORDNO_DEMO_00131,微信小程序支付,22.34,0.00,cny,S,THIRDPAY_DEMO_00061,20260711112435,延时,【爆汁牛腩砂锅煲】+5种配菜+米饭等,,20260711,,,WXP_DEMO_00068
20260711112622,APP_DEMO_00001,ADAPAYID_DEMO_00021,ORDNO_DEMO_00132,微信小程序支付,12.80,0.00,cny,S,THIRDPAY_DEMO_00062,20260711112628,延时,【炒饭】奥尔良鸡丁蛋炒饭,,20260711,,,WXP_DEMO_00032
20260711113031,APP_DEMO_00001,ADAPAYID_DEMO_00022,ORDNO_DEMO_00133,微信小程序支付,15.60,0.00,cny,S,THIRDPAY_DEMO_00063,20260711113037,延时,【炒意面】卤香牛肉鸡蛋炒意面等,,20260711,,,WXP_DEMO_00026
20260711114052,APP_DEMO_00001,ADAPAYID_DEMO_00024,ORDNO_DEMO_00135,微信小程序支付,14.70,0.00,cny,S,THIRDPAY_DEMO_00007,20260711114057,延时,【炒饭】秘制铁板里脊鸡蛋火腿炒饭等,,20260711,,,WXP_DEMO_00035
20260711114203,APP_DEMO_00001,ADAPAYID_DEMO_00025,ORDNO_DEMO_00136,微信小程序支付,13.80,0.00,cny,S,THIRDPAY_DEMO_00008,20260711114209,延时,土豆炒肉（煲仔饭）,,20260711,,,WXP_DEMO_00059
20260711114349,APP_DEMO_00001,ADAPAYID_DEMO_00028,ORDNO_DEMO_00140,微信小程序支付,15.98,0.00,cny,S,THIRDPAY_DEMO_00034,20260711114354,延时,全家福饺（随机三种口味混合）,,20260711,,,WXP_DEMO_00011
20260711114725,APP_DEMO_00001,ADAPAYID_DEMO_00030,ORDNO_DEMO_00141,微信小程序支付,14.80,0.00,cny,S,THIRDPAY_DEMO_00099,20260711114732,延时,蒜苗炒腊肉（煲仔饭）,,20260711,,,WXP_DEMO_00045
20260711114723,APP_DEMO_00001,ADAPAYID_DEMO_00029,ORDNO_DEMO_00139,微信小程序支付,16.80,0.00,cny,S,THIRDPAY_DEMO_00064,20260711114733,延时,香干炒肉+木桶饭,,20260711,,,WXP_DEMO_00028
20260711115132,APP_DEMO_00001,ADAPAYID_DEMO_00031,ORDNO_DEMO_00142,微信小程序支付,11.82,0.00,cny,S,THIRDPAY_DEMO_00100,20260711115138,延时,丝瓜炒肉+米饭等,,20260711,,,WXP_DEMO_00065
20260711120425,APP_DEMO_00001,ADAPAYID_DEMO_00032,ORDNO_DEMO_00143,微信小程序支付,13.68,0.00,cny,S,THIRDPAY_DEMO_00101,20260711120433,延时,【纯肉】黑椒香肠意面等,,20260711,,,WXP_DEMO_00027
20260711120727,APP_DEMO_00001,ADAPAYID_DEMO_00033,ORDNO_DEMO_00144,微信小程序支付,14.80,0.00,cny,S,THIRDPAY_DEMO_00010,20260711120732,延时,蒸饺5只装（配辣油醋包）等,,20260711,,,WXP_DEMO_00007
20260711120738,APP_DEMO_00001,ADAPAYID_DEMO_00034,ORDNO_DEMO_00145,微信小程序支付,13.80,0.00,cny,S,THIRDPAY_DEMO_00065,20260711120747,延时,【大厨头牌】卤香牛肉蛋炒饭|软烂入味等,,20260711,,,WXP_DEMO_00093
20260711121041,APP_DEMO_00001,ADAPAYID_DEMO_00035,ORDNO_DEMO_00146,微信小程序支付,16.80,0.00,cny,S,THIRDPAY_DEMO_00102,20260711121048,延时,鲜肉小馄饨15个等,,20260711,,,WXP_DEMO_00078
20260711101440,APP_DEMO_00001,ADAPAYID_DEMO_00005,ORDNO_DEMO_00116,微信小程序支付,21.80,0.00,cny,F,THIRDPAY_DEMO_00001,,延时,茄子炒肉（煲仔饭）,,,,,
20260711121645,APP_DEMO_00001,ADAPAYID_DEMO_00036,ORDNO_DEMO_00147,微信小程序支付,16.88,0.00,cny,S,THIRDPAY_DEMO_00066,20260711121653,延时,半只手撕烤鸭+米饭,,20260711,,,WXP_DEMO_00008
20260711121709,APP_DEMO_00001,ADAPAYID_DEMO_00037,ORDNO_DEMO_00148,微信小程序支付,13.80,0.00,cny,S,THIRDPAY_DEMO_00035,20260711121714,延时,火腿炒蛋（煲仔饭）,,20260711,,,WXP_DEMO_00037
20260711121748,APP_DEMO_00001,ADAPAYID_DEMO_00038,ORDNO_DEMO_00149,微信小程序支付,23.10,0.00,cny,S,THIRDPAY_DEMO_00036,20260711121754,延时,双拼口味炸鸡套餐-10块肉等,,20260711,,,WXP_DEMO_00097
20260711122312,APP_DEMO_00001,ADAPAYID_DEMO_00039,ORDNO_DEMO_00150,微信小程序支付,18.79,0.00,cny,S,THIRDPAY_DEMO_00103,20260711122317,延时,【自选双拼牛腩拌饭】+3种配菜等,,20260711,,,WXP_DEMO_00046
20260711122450,APP_DEMO_00001,ADAPAYID_DEMO_00040,ORDNO_DEMO_00151,微信小程序支付,10.08,0.00,cny,S,THIRDPAY_DEMO_00037,20260711122456,延时,外婆菜炒饭等,,20260711,,,WXP_DEMO_00041
20260711122904,APP_DEMO_00001,ADAPAYID_DEMO_00041,ORDNO_DEMO_00152,微信小程序支付,13.81,0.00,cny,S,THIRDPAY_DEMO_00038,20260711122910,延时,火腿炒肉（煲仔饭）等,,20260711,,,WXP_DEMO_00090
20260711123252,APP_DEMO_00001,ADAPAYID_DEMO_00043,ORDNO_DEMO_00154,微信小程序支付,28.60,0.00,cny,S,THIRDPAY_DEMO_00104,20260711123258,延时,土豆片炒肉+米饭等,,20260711,,,WXP_DEMO_00009
20260711123301,APP_DEMO_00001,ADAPAYID_DEMO_00044,ORDNO_DEMO_00155,微信小程序支付,13.50,0.00,cny,S,THIRDPAY_DEMO_00068,20260711123307,延时,发财腊八粥等,,20260711,,,WXP_DEMO_00089
20260711123314,APP_DEMO_00001,ADAPAYID_DEMO_00045,ORDNO_DEMO_00156,微信小程序支付,13.80,0.00,cny,S,THIRDPAY_DEMO_00105,20260711123318,延时,【炒河粉】广式腊肠鸡蛋炒河粉,,20260711,,,WXP_DEMO_00052
20260711123548,APP_DEMO_00001,ADAPAYID_DEMO_00046,ORDNO_DEMO_00157,微信小程序支付,20.38,0.00,cny,S,THIRDPAY_DEMO_00039,20260711123553,延时,蛋炒饭等,,20260711,,,WXP_DEMO_00039
20260711123833,APP_DEMO_00001,ADAPAYID_DEMO_00047,ORDNO_DEMO_00158,微信小程序支付,18.60,0.00,cny,S,THIRDPAY_DEMO_00106,20260711123838,延时,炸酥肉拌粉面等,,20260711,,,WXP_DEMO_00073
20260711124416,APP_DEMO_00001,ADAPAYID_DEMO_00048,ORDNO_DEMO_00159,支付宝正扫,17.88,0.00,cny,S,02242607114585624715193,20260711124425,延时,【自选双拼牛腩拌饭】+3种配菜,,20260711,,,2026071123001478381444234033
20260711124831,APP_DEMO_00001,ADAPAYID_DEMO_00049,ORDNO_DEMO_00160,微信小程序支付,18.76,0.00,cny,S,THIRDPAY_DEMO_00040,20260711124839,延时,招牌鸡肉炒米粉+送酥边煎蛋等,,20260711,,,WXP_DEMO_00001
20260711105832,APP_DEMO_00001,ADAPAYID_DEMO_00013,ORDNO_DEMO_00124,微信小程序支付,19.20,0.00,cny,F,THIRDPAY_DEMO_00095,,延时,鲜肉小馄饨15个等,,,,,
20260711130145,APP_DEMO_00001,ADAPAYID_DEMO_00050,ORDNO_DEMO_00161,微信小程序支付,13.00,0.00,cny,S,THIRDPAY_DEMO_00011,20260711130150,延时,鲜肉小馄饨15个等,,20260711,,,WXP_DEMO_00110
20260711130703,APP_DEMO_00001,ADAPAYID_DEMO_00051,ORDNO_DEMO_00162,微信小程序支付,14.40,0.00,cny,S,THIRDPAY_DEMO_00107,20260711130711,延时,招牌灌蛋油条1根等,,20260711,,,WXP_DEMO_00021
20260711131356,APP_DEMO_00001,ADAPAYID_DEMO_00052,ORDNO_DEMO_00163,微信小程序支付,13.70,0.00,cny,S,THIRDPAY_DEMO_00069,20260711131402,延时,鲜肉小馄饨15个等,,20260711,,,WXP_DEMO_00051
20260711131603,APP_DEMO_00001,ADAPAYID_DEMO_00053,ORDNO_DEMO_00164,微信小程序支付,17.88,0.00,cny,S,THIRDPAY_DEMO_00041,20260711131608,延时,半只手撕烤鸭撕好+馒头2,,20260711,,,WXP_DEMO_00091
20260711131744,APP_DEMO_00001,ADAPAYID_DEMO_00054,ORDNO_DEMO_00165,微信小程序支付,17.88,0.00,cny,S,THIRDPAY_DEMO_00108,20260711131749,延时,半只手撕烤鸭撕好+馒头2,,20260711,,,WXP_DEMO_00085
20260711131914,APP_DEMO_00001,ADAPAYID_DEMO_00055,ORDNO_DEMO_00166,微信小程序支付,14.90,0.00,cny,S,THIRDPAY_DEMO_00070,20260711131920,延时,大份茶油铁板烤鸭+配菜+米饭,,20260711,,,WXP_DEMO_00099
20260711132037,APP_DEMO_00001,ADAPAYID_DEMO_00056,ORDNO_DEMO_00167,微信小程序支付,16.88,0.00,cny,S,THIRDPAY_DEMO_00042,20260711132047,延时,半只手撕烤鸭+米饭,,20260711,,,WXP_DEMO_00025
20260711132112,APP_DEMO_00001,ADAPAYID_DEMO_00057,ORDNO_DEMO_00168,微信小程序支付,14.90,0.00,cny,S,THIRDPAY_DEMO_00109,20260711132117,延时,大份茶油铁板烤鸭+配菜+米饭,,20260711,,,WXP_DEMO_00103
20260711133344,APP_DEMO_00001,ADAPAYID_DEMO_00058,ORDNO_DEMO_00169,微信小程序支付,20.46,0.00,cny,S,THIRDPAY_DEMO_00012,20260711133405,延时,【爆汁牛腩砂锅煲】+5种配菜+米饭等,,20260711,,,WXP_DEMO_00036
20260711133412,APP_DEMO_00001,ADAPAYID_DEMO_00059,ORDNO_DEMO_00170,微信小程序支付,9.00,0.00,cny,S,THIRDPAY_DEMO_00071,20260711133417,延时,招牌皮蛋瘦肉粥等,,20260711,,,WXP_DEMO_00047
20260711113959,APP_DEMO_00001,ADAPAYID_DEMO_00023,ORDNO_DEMO_00134,微信小程序支付,14.70,0.00,cny,F,THIRDPAY_DEMO_00097,,延时,【炒饭】秘制铁板里脊鸡蛋火腿炒饭等,,,,,
20260711114307,APP_DEMO_00001,ADAPAYID_DEMO_00026,ORDNO_DEMO_00137,微信小程序支付,16.80,0.00,cny,F,THIRDPAY_DEMO_00009,,延时,香干炒肉+木桶饭,,,,,
20260711134336,APP_DEMO_00001,ADAPAYID_DEMO_00060,ORDNO_DEMO_00171,微信小程序支付,10.80,0.00,cny,S,THIRDPAY_DEMO_00013,20260711134342,延时,（人气必点）卤肉饭+配菜+青菜+米饭等,,20260711,,,WXP_DEMO_00070
20260711114333,APP_DEMO_00001,ADAPAYID_DEMO_00027,ORDNO_DEMO_00138,微信小程序支付,16.80,0.00,cny,F,THIRDPAY_DEMO_00098,,延时,香干炒肉+木桶饭,,,,,
20260711134837,APP_DEMO_00001,ADAPAYID_DEMO_00061,ORDNO_DEMO_00172,微信小程序支付,10.60,0.00,cny,S,THIRDPAY_DEMO_00072,20260711134841,延时,招牌皮蛋瘦肉粥等,,20260711,,,WXP_DEMO_00111
20260711135206,APP_DEMO_00001,ADAPAYID_DEMO_00063,ORDNO_DEMO_00173,微信小程序支付,10.60,0.00,cny,S,THIRDPAY_DEMO_00073,20260711135210,延时,招牌皮蛋瘦肉粥等,,20260711,,,WXP_DEMO_00075
20260711135242,APP_DEMO_00001,ADAPAYID_DEMO_00064,ORDNO_DEMO_00174,微信小程序支付,15.80,0.00,cny,S,THIRDPAY_DEMO_00110,20260711135247,延时,【豪华顶配】七荤八素大满贯炒饭|每口有肉,,20260711,,,WXP_DEMO_00048
20260711123205,APP_DEMO_00001,ADAPAYID_DEMO_00042,ORDNO_DEMO_00153,微信小程序支付,13.80,0.00,cny,F,THIRDPAY_DEMO_00067,,延时,【炒河粉】广式腊肠鸡蛋炒河粉,,,,,
20260711143222,APP_DEMO_00002,ADAPAYID_DEMO_00066,ORDNO_DEMO_00003,微信小程序支付,0.03,0.00,cny,S,THIRDPAY_DEMO_00074,20260711143235,延时,洗漱台,,20260711,,,WXP_DEMO_00014
20260711150930,APP_DEMO_00001,ADAPAYID_DEMO_00067,ORDNO_DEMO_00175,微信小程序支付,6.50,0.00,cny,S,THIRDPAY_DEMO_00075,20260711150936,延时,玉米青菜粥等,,20260711,,,WXP_DEMO_00029
20260711152234,APP_DEMO_00001,ADAPAYID_DEMO_00068,ORDNO_DEMO_00176,微信小程序支付,11.60,0.00,cny,S,THIRDPAY_DEMO_00111,20260711152240,延时,清香绿豆粥等,,20260711,,,WXP_DEMO_00096
20260711155903,APP_DEMO_00001,ADAPAYID_DEMO_00069,ORDNO_DEMO_00177,微信小程序支付,20.60,0.00,cny,S,THIRDPAY_DEMO_00014,20260711155909,延时,【豪华套餐】红烧肉炒饭+里脊肉+大鸡排等,,20260711,,,WXP_DEMO_00030
20260711160811,APP_DEMO_00001,ADAPAYID_DEMO_00070,ORDNO_DEMO_00178,微信小程序支付,15.39,0.00,cny,S,THIRDPAY_DEMO_00015,20260711160817,延时,毛豆炒肉（煲仔饭）等,,20260711,,,WXP_DEMO_00031
20260711161518,APP_DEMO_00002,ADAPAYID_DEMO_00071,ORDNO_DEMO_00006,微信小程序支付,0.03,0.00,cny,S,THIRDPAY_DEMO_00076,20260711161527,延时,洗漱台,,20260711,,,WXP_DEMO_00074
20260711162819,APP_DEMO_00001,ADAPAYID_DEMO_00073,ORDNO_DEMO_00179,微信小程序支付,31.88,0.00,cny,S,THIRDPAY_DEMO_00016,20260711162827,延时,整只手撕烤鸭撕好+馒头2,,20260711,,,WXP_DEMO_00020
20260711164658,APP_DEMO_00001,ADAPAYID_DEMO_00074,ORDNO_DEMO_00180,微信小程序支付,14.88,0.00,cny,S,THIRDPAY_DEMO_00043,20260711164705,延时,辣椒炒肉+擂辣椒+盖码饭,,20260711,,,WXP_DEMO_00040
20260711165420,APP_DEMO_00001,ADAPAYID_DEMO_00075,ORDNO_DEMO_00181,微信小程序支付,14.90,0.00,cny,S,THIRDPAY_DEMO_00112,20260711165428,延时,大份茶油铁板烤鸭+配菜+米饭,,20260711,,,WXP_DEMO_00064
20260711165456,APP_DEMO_00001,ADAPAYID_DEMO_00076,ORDNO_DEMO_00182,微信小程序支付,13.80,0.00,cny,S,THIRDPAY_DEMO_00077,20260711165500,延时,茄子炒肉（煲仔饭）,,20260711,,,WXP_DEMO_00063
20260711165719,APP_DEMO_00001,ADAPAYID_DEMO_00077,ORDNO_DEMO_00183,微信小程序支付,33.12,0.00,cny,S,THIRDPAY_DEMO_00113,20260711165723,延时,黑金毛肚1份等,,20260711,,,WXP_DEMO_00107
20260711165801,APP_DEMO_00001,ADAPAYID_DEMO_00078,ORDNO_DEMO_00184,微信小程序支付,12.76,0.00,cny,S,THIRDPAY_DEMO_00044,20260711165807,延时,《素餐套》全素甘肃天水麻辣烫10种配菜+粉面自选等,,20260711,,,WXP_DEMO_00019
20260711170157,APP_DEMO_00001,ADAPAYID_DEMO_00079,ORDNO_DEMO_00185,微信小程序支付,19.40,0.00,cny,S,THIRDPAY_DEMO_00078,20260711170205,延时,手工老面鲜肉小笼包5个等,,20260711,,,WXP_DEMO_00069
20260711170320,APP_DEMO_00001,ADAPAYID_DEMO_00080,ORDNO_DEMO_00186,微信小程序支付,17.66,0.00,cny,S,THIRDPAY_DEMO_00045,20260711170326,延时,【DIY套餐】荤素16种天水麻辣烫+粉面自选等,,20260711,,,WXP_DEMO_00022
20260711170806,APP_DEMO_00001,ADAPAYID_DEMO_00081,ORDNO_DEMO_00187,微信小程序支付,14.90,0.00,cny,S,THIRDPAY_DEMO_00114,20260711170816,延时,大份茶油铁板烤鸭+配菜+米饭等,,20260711,,,WXP_DEMO_00010
20260711171353,APP_DEMO_00001,ADAPAYID_DEMO_00082,ORDNO_DEMO_00188,微信小程序支付,22.98,0.00,cny,S,THIRDPAY_DEMO_00115,20260711171357,延时,小炒猪耳朵煲,,20260711,,,WXP_DEMO_00081
20260711171526,APP_DEMO_00002,ADAPAYID_DEMO_00085,ORDNO_DEMO_00008,微信小程序支付,0.03,0.00,cny,S,THIRDPAY_DEMO_00017,20260711171551,延时,洗漱台,,20260711,,,WXP_DEMO_00061
20260711171837,APP_DEMO_00001,ADAPAYID_DEMO_00086,ORDNO_DEMO_00189,微信小程序支付,15.96,0.00,cny,S,THIRDPAY_DEMO_00079,20260711171844,延时,【套餐】小酥肉天水麻辣烫15种配菜+粉面自选等,,20260711,,,WXP_DEMO_00104
20260711172309,APP_DEMO_00001,ADAPAYID_DEMO_00088,ORDNO_DEMO_00190,微信小程序支付,12.80,0.00,cny,S,THIRDPAY_DEMO_00018,20260711172315,延时,【炒饭】秘制铁板里脊鸡蛋火腿炒饭,,20260711,,,WXP_DEMO_00016
20260711172739,APP_DEMO_00001,ADAPAYID_DEMO_00089,ORDNO_DEMO_00191,微信小程序支付,13.60,0.00,cny,S,THIRDPAY_DEMO_00116,20260711172743,延时,【炒河粉】火腿土鸡蛋炒河粉等,,20260711,,,WXP_DEMO_00095
20260711172829,APP_DEMO_00001,ADAPAYID_DEMO_00090,ORDNO_DEMO_00192,微信小程序支付,22.68,0.00,cny,S,THIRDPAY_DEMO_00080,20260711172835,延时,鸡腿煲+米饭等,,20260711,,,WXP_DEMO_00005
20260711173128,APP_DEMO_00001,ADAPAYID_DEMO_00091,ORDNO_DEMO_00193,微信小程序支付,15.28,0.00,cny,S,THIRDPAY_DEMO_00048,20260711173138,延时,灌汤小笼包4个等,,20260711,,,WXP_DEMO_00004
20260711173207,APP_DEMO_00001,ADAPAYID_DEMO_00092,ORDNO_DEMO_00194,微信小程序支付,14.90,0.00,cny,S,THIRDPAY_DEMO_00049,20260711173212,延时,大份茶油铁板烤鸭+配菜+米饭,,20260711,,,WXP_DEMO_00098
20260711173430,APP_DEMO_00001,ADAPAYID_DEMO_00093,ORDNO_DEMO_00195,微信小程序支付,11.80,0.00,cny,S,THIRDPAY_DEMO_00081,20260711173442,延时,大碗鲜肉馄饨（26颗）,,20260711,,,WXP_DEMO_00056
20260711173534,APP_DEMO_00001,ADAPAYID_DEMO_00094,ORDNO_DEMO_00196,微信小程序支付,17.00,0.00,cny,S,THIRDPAY_DEMO_00050,20260711173542,延时,北京烤鸭半只+饼,,20260711,,,WXP_DEMO_00102
20260711173950,APP_DEMO_00001,ADAPAYID_DEMO_00096,ORDNO_DEMO_00198,微信小程序支付,12.16,0.00,cny,S,THIRDPAY_DEMO_00083,20260711173956,延时,培根1份等,,20260711,,,WXP_DEMO_00080
20260711173849,APP_DEMO_00001,ADAPAYID_DEMO_00095,ORDNO_DEMO_00197,微信小程序支付,17.80,0.00,cny,S,THIRDPAY_DEMO_00082,20260711174039,延时,美式鲜肉/炸鸡汉堡+火山石肉肠+鸡块3个+饮品,,20260711,,,WXP_DEMO_00066
20260711174448,APP_DEMO_00001,ADAPAYID_DEMO_00097,ORDNO_DEMO_00199,微信小程序支付,10.80,0.00,cny,S,THIRDPAY_DEMO_00084,20260711174454,延时,（人气必点）卤肉饭+配菜+青菜+米饭,,20260711,,,WXP_DEMO_00053
20260711174824,APP_DEMO_00001,ADAPAYID_DEMO_00098,ORDNO_DEMO_00200,微信小程序支付,17.00,0.00,cny,S,THIRDPAY_DEMO_00051,20260711174831,延时,北京烤鸭半只+饼,,20260711,,,WXP_DEMO_00092
20260711175823,APP_DEMO_00001,ADAPAYID_DEMO_00099,ORDNO_DEMO_00201,微信小程序支付,14.90,0.00,cny,S,THIRDPAY_DEMO_00117,20260711175829,延时,大份茶油铁板烤鸭+配菜+米饭,,20260711,,,WXP_DEMO_00055
20260711180105,APP_DEMO_00001,ADAPAYID_DEMO_00100,ORDNO_DEMO_00202,微信小程序支付,15.56,0.00,cny,S,THIRDPAY_DEMO_00052,20260711180110,延时,辣椒炒肉+擂辣椒+盖码饭等,,20260711,,,WXP_DEMO_00072
20260711180241,APP_DEMO_00001,ADAPAYID_DEMO_00101,ORDNO_DEMO_00203,微信小程序支付,14.80,0.00,cny,S,THIRDPAY_DEMO_00118,20260711180245,延时,肉末茄子（煲仔饭）,,20260711,,,WXP_DEMO_00076
20260711180258,APP_DEMO_00001,ADAPAYID_DEMO_00102,ORDNO_DEMO_00204,微信小程序支付,17.90,0.00,cny,S,THIRDPAY_DEMO_00019,20260711180304,延时,买8块肉送8年糕（双拼口味）等,,20260711,,,WXP_DEMO_00024
20260711181037,APP_DEMO_00001,ADAPAYID_DEMO_00103,ORDNO_DEMO_00205,微信小程序支付,14.80,0.00,cny,S,THIRDPAY_DEMO_00020,20260711181043,延时,葱油饼+鸭血+粉丝汤,,20260711,,,WXP_DEMO_00044
20260711181444,APP_DEMO_00001,ADAPAYID_DEMO_00105,ORDNO_DEMO_00207,微信小程序支付,28.88,0.00,cny,S,THIRDPAY_DEMO_00085,20260711181449,延时,整只烤鸭撕开,,20260711,,,WXP_DEMO_00083
20260711181913,APP_DEMO_00001,ADAPAYID_DEMO_00106,ORDNO_DEMO_00208,微信小程序支付,14.90,0.00,cny,S,THIRDPAY_DEMO_00021,20260711181919,延时,大份茶油铁板烤鸭+配菜+米饭,,20260711,,,WXP_DEMO_00058
20260711182157,APP_DEMO_00001,ADAPAYID_DEMO_00107,ORDNO_DEMO_00209,微信小程序支付,12.80,0.00,cny,S,THIRDPAY_DEMO_00086,20260711182208,延时,砂锅米线一荤六素,,20260711,,,WXP_DEMO_00094
20260711182534,APP_DEMO_00001,ADAPAYID_DEMO_00108,ORDNO_DEMO_00210,微信小程序支付,13.80,0.00,cny,S,THIRDPAY_DEMO_00087,20260711182538,延时,招牌原味螺蛳粉等,,20260711,,,WXP_DEMO_00082
20260711182932,APP_DEMO_00001,ADAPAYID_DEMO_00109,ORDNO_DEMO_00211,微信小程序支付,19.90,0.00,cny,S,THIRDPAY_DEMO_00053,20260711182950,延时,香酥鸭半只孜然味+米饭等,,20260711,,,WXP_DEMO_00038
20260711183148,APP_DEMO_00001,ADAPAYID_DEMO_00110,ORDNO_DEMO_00212,微信小程序支付,22.98,0.00,cny,S,THIRDPAY_DEMO_00119,20260711183152,延时,腊肉蛋炒饭等,,20260711,,,WXP_DEMO_00100
20260711183217,APP_DEMO_00001,ADAPAYID_DEMO_00111,ORDNO_DEMO_00213,微信小程序支付,16.88,0.00,cny,S,THIRDPAY_DEMO_00022,20260711183227,延时,奥尔良烤翅1+鸡米花10+香辣鸡腿1+台湾烤肠等,,20260711,,,WXP_DEMO_00013
20260711183355,APP_DEMO_00001,ADAPAYID_DEMO_00112,ORDNO_DEMO_00214,微信小程序支付,15.16,0.00,cny,S,THIRDPAY_DEMO_00023,20260711183401,延时,肥牛培根天水麻辣烫15种配菜+粉面自选等,,20260711,,,WXP_DEMO_00018
