#支付确认流水记录
#起始日期：[2026年07月11日 00:00:00]    终止日期：[2026年07月11日 23:59:59]
#---------------------------------------------支付确认流水明细-------------------------------------------
交易时间,app_id,确认ID,支付确认订单号,商户支付ID,确认金额,手续费金额,确认状态
20260711234522,APP_DEMO_00001,ADAPAYID_DEMO_00194,ORDNO_DEMO_00079,ADAPAYID_DEMO_00088,12.80,0.03,S,
20260711234522,APP_DEMO_00001,ADAPAYID_DEMO_00195,ORDNO_DEMO_00080,ADAPAYID_DEMO_00089,13.60,0.03,S,
20260711234522,APP_DEMO_00001,ADAPAYID_DEMO_00196,ORDNO_DEMO_00081,ADAPAYID_DEMO_00090,22.68,0.06,S,
20260711234523,APP_DEMO_00001,ADAPAYID_DEMO_00197,ORDNO_DEMO_00082,ADAPAYID_DEMO_00091,15.28,0.04,S,
20260711234523,APP_DEMO_00001,ADAPAYID_DEMO_00198,ORDNO_DEMO_00083,ADAPAYID_DEMO_00092,14.90,0.04,S,
20260711234523,APP_DEMO_00001,ADAPAYID_DEMO_00199,ORDNO_DEMO_00084,ADAPAYID_DEMO_00093,11.80,0.03,S,
20260711234523,APP_DEMO_00001,ADAPAYID_DEMO_00200,ORDNO_DEMO_00085,ADAPAYID_DEMO_00094,17.00,0.04,S,
20260711234524,APP_DEMO_00001,ADAPAYID_DEMO_00201,ORDNO_DEMO_00086,ADAPAYID_DEMO_00095,17.80,0.04,S,
20260711234524,APP_DEMO_00001,ADAPAYID_DEMO_00202,ORDNO_DEMO_00087,ADAPAYID_DEMO_00096,12.16,0.03,S,
20260711234524,APP_DEMO_00001,ADAPAYID_DEMO_00203,ORDNO_DEMO_00088,ADAPAYID_DEMO_00097,10.80,0.03,S,
20260711234525,APP_DEMO_00001,ADAPAYID_DEMO_00204,ORDNO_DEMO_00089,ADAPAYID_DEMO_00098,17.00,0.04,S,
20260711234525,APP_DEMO_00001,ADAPAYID_DEMO_00205,ORDNO_DEMO_00090,ADAPAYID_DEMO_00099,14.90,0.04,S,
20260711234525,APP_DEMO_00001,ADAPAYID_DEMO_00206,ORDNO_DEMO_00091,ADAPAYID_DEMO_00100,15.56,0.04,S,
20260711234526,APP_DEMO_00001,ADAPAYID_DEMO_00207,ORDNO_DEMO_00092,ADAPAYID_DEMO_00101,14.80,0.04,S,
20260711234526,APP_DEMO_00001,ADAPAYID_DEMO_00208,ORDNO_DEMO_00093,ADAPAYID_DEMO_00102,17.90,0.04,S,
20260711234526,APP_DEMO_00001,ADAPAYID_DEMO_00209,ORDNO_DEMO_00094,ADAPAYID_DEMO_00103,14.80,0.04,S,
20260711234527,APP_DEMO_00001,ADAPAYID_DEMO_00210,ORDNO_DEMO_00095,ADAPAYID_DEMO_00105,28.88,0.07,S,
20260711234527,APP_DEMO_00001,ADAPAYID_DEMO_00211,ORDNO_DEMO_00096,ADAPAYID_DEMO_00106,14.90,0.04,S,
20260711234527,APP_DEMO_00001,ADAPAYID_DEMO_00212,ORDNO_DEMO_00097,ADAPAYID_DEMO_00107,12.80,0.03,S,
20260711234528,APP_DEMO_00001,ADAPAYID_DEMO_00213,ORDNO_DEMO_00098,ADAPAYID_DEMO_00108,13.80,0.03,S,
20260711234528,APP_DEMO_00001,ADAPAYID_DEMO_00214,ORDNO_DEMO_00099,ADAPAYID_DEMO_00109,19.90,0.05,S,
20260711234528,APP_DEMO_00001,ADAPAYID_DEMO_00215,ORDNO_DEMO_00100,ADAPAYID_DEMO_00110,22.98,0.06,S,
20260711234529,APP_DEMO_00001,ADAPAYID_DEMO_00216,ORDNO_DEMO_00101,ADAPAYID_DEMO_00111,16.88,0.04,S,
20260711234529,APP_DEMO_00001,ADAPAYID_DEMO_00217,ORDNO_DEMO_00102,ADAPAYID_DEMO_00112,15.16,0.04,S,
20260711234529,APP_DEMO_00001,ADAPAYID_DEMO_00218,ORDNO_DEMO_00103,ADAPAYID_DEMO_00113,22.77,0.06,S,
20260711234530,APP_DEMO_00001,ADAPAYID_DEMO_00219,ORDNO_DEMO_00104,ADAPAYID_DEMO_00114,22.77,0.06,S,
20260711234530,APP_DEMO_00001,ADAPAYID_DEMO_00220,ORDNO_DEMO_00105,ADAPAYID_DEMO_00115,14.80,0.04,S,
20260711234530,APP_DEMO_00001,ADAPAYID_DEMO_00221,ORDNO_DEMO_00106,ADAPAYID_DEMO_00116,21.79,0.05,S,
20260711234531,APP_DEMO_00001,ADAPAYID_DEMO_00222,ORDNO_DEMO_00107,ADAPAYID_DEMO_00117,40.76,0.10,S,
20260711234531,APP_DEMO_00001,ADAPAYID_DEMO_00223,ORDNO_DEMO_00108,ADAPAYID_DEMO_00118,16.90,0.04,S,
20260711234531,APP_DEMO_00001,ADAPAYID_DEMO_00224,ORDNO_DEMO_00109,ADAPAYID_DEMO_00119,25.32,0.06,S,
20260711234532,APP_DEMO_00001,ADAPAYID_DEMO_00225,ORDNO_DEMO_00110,ADAPAYID_DEMO_00120,19.84,0.05,S,
20260711234532,APP_DEMO_00001,ADAPAYID_DEMO_00226,ORDNO_DEMO_00111,ADAPAYID_DEMO_00121,16.80,0.04,S,
20260711234532,APP_DEMO_00001,ADAPAYID_DEMO_00227,ORDNO_DEMO_00112,ADAPAYID_DEMO_00124,21.40,0.05,S,
#---------------------------------------------支付确认流水明细-------------------------------------------
#合计：103笔，共1729.90元
#导出时间：[2026年07月12日 02:06:34]
