#分账流水记录
#起始日期：[2026年07月11日 00:00:00]    终止日期：[2026年07月11日 23:59:59]
#---------------------------------------------分账流水明细-------------------------------------------
支付对象id,订单号,交易金额,分账金额,交易完成时间,支付模式,支付确认对象id,分账用户,手续费承担方,手续费金额,原订单号
ADAPAYID_DEMO_00014,ORDNO_DEMO_00020,21.39,15.64,2026-07-11 23:45:04,延时,ADAPAYID_DEMO_00136,MEMBER_UUID_DEMO_0003,N,0.00,ORDNO_DEMO_00125,
ADAPAYID_DEMO_00015,ORDNO_DEMO_00021,12.80,4.20,2026-07-11 23:45:04,延时,ADAPAYID_DEMO_00137,0,Y,0.03,ORDNO_DEMO_00126,
ADAPAYID_DEMO_00015,ORDNO_DEMO_00021,12.80,8.60,2026-07-11 23:45:04,延时,ADAPAYID_DEMO_00137,MEMBER_UUID_DEMO_0003,N,0.00,ORDNO_DEMO_00126,
ADAPAYID_DEMO_00016,ORDNO_DEMO_00022,17.00,4.96,2026-07-11 23:45:04,延时,ADAPAYID_DEMO_00138,0,Y,0.04,ORDNO_DEMO_00127,
ADAPAYID_DEMO_00016,ORDNO_DEMO_00022,17.00,12.04,2026-07-11 23:45:04,延时,ADAPAYID_DEMO_00138,MEMBER_UUID_DEMO_0014,N,0.00,ORDNO_DEMO_00127,
ADAPAYID_DEMO_00018,ORDNO_DEMO_00023,14.00,4.42,2026-07-11 23:45:04,延时,ADAPAYID_DEMO_00139,0,Y,0.04,ORDNO_DEMO_00129,
ADAPAYID_DEMO_00018,ORDNO_DEMO_00023,14.00,9.58,2026-07-11 23:45:04,延时,ADAPAYID_DEMO_00139,MEMBER_UUID_DEMO_0010,N,0.00,ORDNO_DEMO_00129,
ADAPAYID_DEMO_00019,ORDNO_DEMO_00024,11.80,4.02,2026-07-11 23:45:05,延时,ADAPAYID_DEMO_00140,0,Y,0.03,ORDNO_DEMO_00130,
ADAPAYID_DEMO_00019,ORDNO_DEMO_00024,11.80,7.78,2026-07-11 23:45:05,延时,ADAPAYID_DEMO_00140,MEMBER_UUID_DEMO_0003,N,0.00,ORDNO_DEMO_00130,
ADAPAYID_DEMO_00020,ORDNO_DEMO_00025,22.34,5.92,2026-07-11 23:45:05,延时,ADAPAYID_DEMO_00141,0,Y,0.06,ORDNO_DEMO_00131,
ADAPAYID_DEMO_00020,ORDNO_DEMO_00025,22.34,16.42,2026-07-11 23:45:05,延时,ADAPAYID_DEMO_00141,MEMBER_UUID_DEMO_0019,N,0.00,ORDNO_DEMO_00131,
ADAPAYID_DEMO_00021,ORDNO_DEMO_00026,12.80,4.20,2026-07-11 23:45:05,延时,ADAPAYID_DEMO_00142,0,Y,0.03,ORDNO_DEMO_00132,
ADAPAYID_DEMO_00021,ORDNO_DEMO_00026,12.80,8.60,2026-07-11 23:45:05,延时,ADAPAYID_DEMO_00142,MEMBER_UUID_DEMO_0003,N,0.00,ORDNO_DEMO_00132,
ADAPAYID_DEMO_00022,ORDNO_DEMO_00027,15.60,4.71,2026-07-11 23:45:06,延时,ADAPAYID_DEMO_00143,0,Y,0.04,ORDNO_DEMO_00133,
ADAPAYID_DEMO_00022,ORDNO_DEMO_00027,15.60,10.89,2026-07-11 23:45:06,延时,ADAPAYID_DEMO_00143,MEMBER_UUID_DEMO_0003,N,0.00,ORDNO_DEMO_00133,
ADAPAYID_DEMO_00024,ORDNO_DEMO_00028,14.70,4.55,2026-07-11 23:45:06,延时,ADAPAYID_DEMO_00144,0,Y,0.04,ORDNO_DEMO_00135,
ADAPAYID_DEMO_00024,ORDNO_DEMO_00028,14.70,10.15,2026-07-11 23:45:06,延时,ADAPAYID_DEMO_00144,MEMBER_UUID_DEMO_0003,N,0.00,ORDNO_DEMO_00135,
ADAPAYID_DEMO_00025,ORDNO_DEMO_00029,13.80,4.38,2026-07-11 23:45:06,延时,ADAPAYID_DEMO_00145,0,Y,0.03,ORDNO_DEMO_00136,
ADAPAYID_DEMO_00025,ORDNO_DEMO_00029,13.80,9.42,2026-07-11 23:45:06,延时,ADAPAYID_DEMO_00145,MEMBER_UUID_DEMO_0002,N,0.00,ORDNO_DEMO_00136,
ADAPAYID_DEMO_00029,ORDNO_DEMO_00030,16.80,4.92,2026-07-11 23:45:07,延时,ADAPAYID_DEMO_00146,0,Y,0.04,ORDNO_DEMO_00139,
ADAPAYID_DEMO_00029,ORDNO_DEMO_00030,16.80,11.88,2026-07-11 23:45:07,延时,ADAPAYID_DEMO_00146,MEMBER_UUID_DEMO_0021,N,0.00,ORDNO_DEMO_00139,
ADAPAYID_DEMO_00028,ORDNO_DEMO_00031,15.98,4.78,2026-07-11 23:45:07,延时,ADAPAYID_DEMO_00147,0,Y,0.04,ORDNO_DEMO_00140,
ADAPAYID_DEMO_00028,ORDNO_DEMO_00031,15.98,11.20,2026-07-11 23:45:07,延时,ADAPAYID_DEMO_00147,MEMBER_UUID_DEMO_0022,N,0.00,ORDNO_DEMO_00140,
ADAPAYID_DEMO_00030,ORDNO_DEMO_00032,14.80,4.56,2026-07-11 23:45:07,延时,ADAPAYID_DEMO_00148,0,Y,0.04,ORDNO_DEMO_00141,
ADAPAYID_DEMO_00030,ORDNO_DEMO_00032,14.80,10.24,2026-07-11 23:45:07,延时,ADAPAYID_DEMO_00148,MEMBER_UUID_DEMO_0002,N,0.00,ORDNO_DEMO_00141,
ADAPAYID_DEMO_00031,ORDNO_DEMO_00033,11.82,4.03,2026-07-11 23:45:08,延时,ADAPAYID_DEMO_00149,0,Y,0.03,ORDNO_DEMO_00142,
ADAPAYID_DEMO_00031,ORDNO_DEMO_00033,11.82,7.79,2026-07-11 23:45:08,延时,ADAPAYID_DEMO_00149,MEMBER_UUID_DEMO_0028,N,0.00,ORDNO_DEMO_00142,
ADAPAYID_DEMO_00032,ORDNO_DEMO_00034,13.68,4.36,2026-07-11 23:45:08,延时,ADAPAYID_DEMO_00150,0,Y,0.03,ORDNO_DEMO_00143,
ADAPAYID_DEMO_00032,ORDNO_DEMO_00034,13.68,9.32,2026-07-11 23:45:08,延时,ADAPAYID_DEMO_00150,MEMBER_UUID_DEMO_0007,N,0.00,ORDNO_DEMO_00143,
ADAPAYID_DEMO_00033,ORDNO_DEMO_00035,14.80,4.56,2026-07-11 23:45:08,延时,ADAPAYID_DEMO_00151,0,Y,0.04,ORDNO_DEMO_00144,
ADAPAYID_DEMO_00033,ORDNO_DEMO_00035,14.80,10.24,2026-07-11 23:45:08,延时,ADAPAYID_DEMO_00151,MEMBER_UUID_DEMO_0016,N,0.00,ORDNO_DEMO_00144,
ADAPAYID_DEMO_00034,ORDNO_DEMO_00036,13.80,4.38,2026-07-11 23:45:09,延时,ADAPAYID_DEMO_00152,0,Y,0.03,ORDNO_DEMO_00145,
ADAPAYID_DEMO_00034,ORDNO_DEMO_00036,13.80,9.42,2026-07-11 23:45:09,延时,ADAPAYID_DEMO_00152,MEMBER_UUID_DEMO_0003,N,0.00,ORDNO_DEMO_00145,
ADAPAYID_DEMO_00035,ORDNO_DEMO_00037,16.80,4.92,2026-07-11 23:45:09,延时,ADAPAYID_DEMO_00153,0,Y,0.04,ORDNO_DEMO_00146,
ADAPAYID_DEMO_00035,ORDNO_DEMO_00037,16.80,11.88,2026-07-11 23:45:09,延时,ADAPAYID_DEMO_00153,MEMBER_UUID_DEMO_0016,N,0.00,ORDNO_DEMO_00146,
ADAPAYID_DEMO_00036,ORDNO_DEMO_00038,16.88,4.94,2026-07-11 23:45:09,延时,ADAPAYID_DEMO_00154,0,Y,0.04,ORDNO_DEMO_00147,
ADAPAYID_DEMO_00036,ORDNO_DEMO_00038,16.88,11.94,2026-07-11 23:45:09,延时,ADAPAYID_DEMO_00154,MEMBER_UUID_DEMO_0023,N,0.00,ORDNO_DEMO_00147,
ADAPAYID_DEMO_00037,ORDNO_DEMO_00039,13.80,4.38,2026-07-11 23:45:09,延时,ADAPAYID_DEMO_00155,0,Y,0.03,ORDNO_DEMO_00148,
ADAPAYID_DEMO_00037,ORDNO_DEMO_00039,13.80,9.42,2026-07-11 23:45:09,延时,ADAPAYID_DEMO_00155,MEMBER_UUID_DEMO_0002,N,0.00,ORDNO_DEMO_00148,
ADAPAYID_DEMO_00038,ORDNO_DEMO_00040,23.10,6.06,2026-07-11 23:45:10,延时,ADAPAYID_DEMO_00156,0,Y,0.06,ORDNO_DEMO_00149,
ADAPAYID_DEMO_00038,ORDNO_DEMO_00040,23.10,17.04,2026-07-11 23:45:10,延时,ADAPAYID_DEMO_00156,MEMBER_UUID_DEMO_0009,N,0.00,ORDNO_DEMO_00149,
ADAPAYID_DEMO_00039,ORDNO_DEMO_00041,18.79,5.28,2026-07-11 23:45:10,延时,ADAPAYID_DEMO_00157,0,Y,0.05,ORDNO_DEMO_00150,
ADAPAYID_DEMO_00039,ORDNO_DEMO_00041,18.79,13.51,2026-07-11 23:45:10,延时,ADAPAYID_DEMO_00157,MEMBER_UUID_DEMO_0019,N,0.00,ORDNO_DEMO_00150,
ADAPAYID_DEMO_00040,ORDNO_DEMO_00042,10.08,2.07,2026-07-11 23:45:10,延时,ADAPAYID_DEMO_00158,0,Y,0.03,ORDNO_DEMO_00151,
ADAPAYID_DEMO_00040,ORDNO_DEMO_00042,10.08,8.01,2026-07-11 23:45:10,延时,ADAPAYID_DEMO_00158,MEMBER_UUID_DEMO_0001,N,0.00,ORDNO_DEMO_00151,
ADAPAYID_DEMO_00041,ORDNO_DEMO_00043,13.81,4.39,2026-07-11 23:45:11,延时,ADAPAYID_DEMO_00159,0,Y,0.03,ORDNO_DEMO_00152,
ADAPAYID_DEMO_00041,ORDNO_DEMO_00043,13.81,9.42,2026-07-11 23:45:11,延时,ADAPAYID_DEMO_00159,MEMBER_UUID_DEMO_0002,N,0.00,ORDNO_DEMO_00152,
ADAPAYID_DEMO_00043,ORDNO_DEMO_00044,28.60,8.69,2026-07-11 23:45:11,延时,ADAPAYID_DEMO_00160,0,Y,0.07,ORDNO_DEMO_00154,
ADAPAYID_DEMO_00043,ORDNO_DEMO_00044,28.60,19.91,2026-07-11 23:45:11,延时,ADAPAYID_DEMO_00160,MEMBER_UUID_DEMO_0028,N,0.00,ORDNO_DEMO_00154,
ADAPAYID_DEMO_00044,ORDNO_DEMO_00045,13.50,4.33,2026-07-11 23:45:11,延时,ADAPAYID_DEMO_00161,0,Y,0.03,ORDNO_DEMO_00155,
ADAPAYID_DEMO_00044,ORDNO_DEMO_00045,13.50,9.17,2026-07-11 23:45:11,延时,ADAPAYID_DEMO_00161,MEMBER_UUID_DEMO_0016,N,0.00,ORDNO_DEMO_00155,
ADAPAYID_DEMO_00045,ORDNO_DEMO_00046,13.80,4.38,2026-07-11 23:45:12,延时,ADAPAYID_DEMO_00162,0,Y,0.03,ORDNO_DEMO_00156,
ADAPAYID_DEMO_00045,ORDNO_DEMO_00046,13.80,9.42,2026-07-11 23:45:12,延时,ADAPAYID_DEMO_00162,MEMBER_UUID_DEMO_0003,N,0.00,ORDNO_DEMO_00156,
ADAPAYID_DEMO_00046,ORDNO_DEMO_00047,20.38,3.93,2026-07-11 23:45:12,延时,ADAPAYID_DEMO_00163,0,Y,0.05,ORDNO_DEMO_00157,
ADAPAYID_DEMO_00046,ORDNO_DEMO_00047,20.38,16.45,2026-07-11 23:45:12,延时,ADAPAYID_DEMO_00163,MEMBER_UUID_DEMO_0001,N,0.00,ORDNO_DEMO_00157,
ADAPAYID_DEMO_00047,ORDNO_DEMO_00048,18.60,5.25,2026-07-11 23:45:12,延时,ADAPAYID_DEMO_00164,0,Y,0.05,ORDNO_DEMO_00158,
ADAPAYID_DEMO_00047,ORDNO_DEMO_00048,18.60,13.35,2026-07-11 23:45:12,延时,ADAPAYID_DEMO_00164,MEMBER_UUID_DEMO_0004,N,0.00,ORDNO_DEMO_00158,
ADAPAYID_DEMO_00048,ORDNO_DEMO_00049,17.88,5.12,2026-07-11 23:45:13,延时,ADAPAYID_DEMO_00165,0,Y,0.04,ORDNO_DEMO_00159,
ADAPAYID_DEMO_00048,ORDNO_DEMO_00049,17.88,12.76,2026-07-11 23:45:13,延时,ADAPAYID_DEMO_00165,MEMBER_UUID_DEMO_0019,N,0.00,ORDNO_DEMO_00159,
ADAPAYID_DEMO_00049,ORDNO_DEMO_00050,18.76,5.28,2026-07-11 23:45:13,延时,ADAPAYID_DEMO_00166,0,Y,0.05,ORDNO_DEMO_00160,
ADAPAYID_DEMO_00049,ORDNO_DEMO_00050,18.76,13.48,2026-07-11 23:45:13,延时,ADAPAYID_DEMO_00166,MEMBER_UUID_DEMO_0026,N,0.00,ORDNO_DEMO_00160,
ADAPAYID_DEMO_00050,ORDNO_DEMO_00051,13.00,4.24,2026-07-11 23:45:13,延时,ADAPAYID_DEMO_00167,0,Y,0.03,ORDNO_DEMO_00161,
ADAPAYID_DEMO_00050,ORDNO_DEMO_00051,13.00,8.76,2026-07-11 23:45:13,延时,ADAPAYID_DEMO_00167,MEMBER_UUID_DEMO_0016,N,0.00,ORDNO_DEMO_00161,
ADAPAYID_DEMO_00051,ORDNO_DEMO_00052,14.40,4.49,2026-07-11 23:45:14,延时,ADAPAYID_DEMO_00168,0,Y,0.04,ORDNO_DEMO_00162,
ADAPAYID_DEMO_00051,ORDNO_DEMO_00052,14.40,9.91,2026-07-11 23:45:14,延时,ADAPAYID_DEMO_00168,MEMBER_UUID_DEMO_0016,N,0.00,ORDNO_DEMO_00162,
ADAPAYID_DEMO_00052,ORDNO_DEMO_00053,13.70,4.37,2026-07-11 23:45:14,延时,ADAPAYID_DEMO_00169,0,Y,0.03,ORDNO_DEMO_00163,
ADAPAYID_DEMO_00052,ORDNO_DEMO_00053,13.70,9.33,2026-07-11 23:45:14,延时,ADAPAYID_DEMO_00169,MEMBER_UUID_DEMO_0016,N,0.00,ORDNO_DEMO_00163,
ADAPAYID_DEMO_00053,ORDNO_DEMO_00054,17.88,5.12,2026-07-11 23:45:14,延时,ADAPAYID_DEMO_00170,0,Y,0.04,ORDNO_DEMO_00164,
ADAPAYID_DEMO_00053,ORDNO_DEMO_00054,17.88,12.76,2026-07-11 23:45:14,延时,ADAPAYID_DEMO_00170,MEMBER_UUID_DEMO_0023,N,0.00,ORDNO_DEMO_00164,
ADAPAYID_DEMO_00054,ORDNO_DEMO_00055,17.88,5.12,2026-07-11 23:45:15,延时,ADAPAYID_DEMO_00171,0,Y,0.04,ORDNO_DEMO_00165,
ADAPAYID_DEMO_00054,ORDNO_DEMO_00055,17.88,12.76,2026-07-11 23:45:15,延时,ADAPAYID_DEMO_00171,MEMBER_UUID_DEMO_0023,N,0.00,ORDNO_DEMO_00165,
ADAPAYID_DEMO_00055,ORDNO_DEMO_00056,14.90,4.58,2026-07-11 23:45:15,延时,ADAPAYID_DEMO_00172,0,Y,0.04,ORDNO_DEMO_00166,
ADAPAYID_DEMO_00055,ORDNO_DEMO_00056,14.90,10.32,2026-07-11 23:45:15,延时,ADAPAYID_DEMO_00172,MEMBER_UUID_DEMO_0008,N,0.00,ORDNO_DEMO_00166,
ADAPAYID_DEMO_00056,ORDNO_DEMO_00057,16.88,4.94,2026-07-11 23:45:15,延时,ADAPAYID_DEMO_00173,0,Y,0.04,ORDNO_DEMO_00167,
ADAPAYID_DEMO_00056,ORDNO_DEMO_00057,16.88,11.94,2026-07-11 23:45:15,延时,ADAPAYID_DEMO_00173,MEMBER_UUID_DEMO_0023,N,0.00,ORDNO_DEMO_00167,
ADAPAYID_DEMO_00058,ORDNO_DEMO_00059,20.46,5.58,2026-07-11 23:45:15,延时,ADAPAYID_DEMO_00174,0,Y,0.05,ORDNO_DEMO_00169,
ADAPAYID_DEMO_00058,ORDNO_DEMO_00059,20.46,14.88,2026-07-11 23:45:15,延时,ADAPAYID_DEMO_00174,MEMBER_UUID_DEMO_0019,N,0.00,ORDNO_DEMO_00169,
ADAPAYID_DEMO_00059,ORDNO_DEMO_00060,9.00,3.52,2026-07-11 23:45:16,延时,ADAPAYID_DEMO_00175,0,Y,0.02,ORDNO_DEMO_00170,
ADAPAYID_DEMO_00059,ORDNO_DEMO_00060,9.00,5.48,2026-07-11 23:45:16,延时,ADAPAYID_DEMO_00175,MEMBER_UUID_DEMO_0016,N,0.00,ORDNO_DEMO_00170,
ADAPAYID_DEMO_00060,ORDNO_DEMO_00061,10.80,3.84,2026-07-11 23:45:16,延时,ADAPAYID_DEMO_00176,0,Y,0.03,ORDNO_DEMO_00171,
ADAPAYID_DEMO_00060,ORDNO_DEMO_00061,10.80,6.96,2026-07-11 23:45:16,延时,ADAPAYID_DEMO_00176,MEMBER_UUID_DEMO_0027,N,0.00,ORDNO_DEMO_00171,
ADAPAYID_DEMO_00063,ORDNO_DEMO_00062,10.60,3.81,2026-07-11 23:45:16,延时,ADAPAYID_DEMO_00177,0,Y,0.03,ORDNO_DEMO_00173,
ADAPAYID_DEMO_00063,ORDNO_DEMO_00062,10.60,6.79,2026-07-11 23:45:16,延时,ADAPAYID_DEMO_00177,MEMBER_UUID_DEMO_0016,N,0.00,ORDNO_DEMO_00173,
ADAPAYID_DEMO_00064,ORDNO_DEMO_00063,15.80,4.74,2026-07-11 23:45:17,延时,ADAPAYID_DEMO_00178,0,Y,0.04,ORDNO_DEMO_00174,
ADAPAYID_DEMO_00064,ORDNO_DEMO_00063,15.80,11.06,2026-07-11 23:45:17,延时,ADAPAYID_DEMO_00178,MEMBER_UUID_DEMO_0003,N,0.00,ORDNO_DEMO_00174,
ADAPAYID_DEMO_00067,ORDNO_DEMO_00064,6.50,3.07,2026-07-11 23:45:17,延时,ADAPAYID_DEMO_00179,0,Y,0.02,ORDNO_DEMO_00175,
ADAPAYID_DEMO_00067,ORDNO_DEMO_00064,6.50,3.43,2026-07-11 23:45:17,延时,ADAPAYID_DEMO_00179,MEMBER_UUID_DEMO_0016,N,0.00,ORDNO_DEMO_00175,
ADAPAYID_DEMO_00068,ORDNO_DEMO_00065,11.60,3.99,2026-07-11 23:45:17,延时,ADAPAYID_DEMO_00180,0,Y,0.03,ORDNO_DEMO_00176,
ADAPAYID_DEMO_00068,ORDNO_DEMO_00065,11.60,7.61,2026-07-11 23:45:17,延时,ADAPAYID_DEMO_00180,MEMBER_UUID_DEMO_0016,N,0.00,ORDNO_DEMO_00176,
ADAPAYID_DEMO_00069,ORDNO_DEMO_00066,20.60,5.61,2026-07-11 23:45:18,延时,ADAPAYID_DEMO_00181,0,Y,0.05,ORDNO_DEMO_00177,
ADAPAYID_DEMO_00069,ORDNO_DEMO_00066,20.60,14.99,2026-07-11 23:45:18,延时,ADAPAYID_DEMO_00181,MEMBER_UUID_DEMO_0003,N,0.00,ORDNO_DEMO_00177,
ADAPAYID_DEMO_00070,ORDNO_DEMO_00067,15.39,4.67,2026-07-11 23:45:18,延时,ADAPAYID_DEMO_00182,0,Y,0.04,ORDNO_DEMO_00178,
ADAPAYID_DEMO_00070,ORDNO_DEMO_00067,15.39,10.72,2026-07-11 23:45:18,延时,ADAPAYID_DEMO_00182,MEMBER_UUID_DEMO_0002,N,0.00,ORDNO_DEMO_00178,
ADAPAYID_DEMO_00073,ORDNO_DEMO_00068,31.88,7.64,2026-07-11 23:45:18,延时,ADAPAYID_DEMO_00183,0,Y,0.08,ORDNO_DEMO_00179,
ADAPAYID_DEMO_00073,ORDNO_DEMO_00068,31.88,24.24,2026-07-11 23:45:18,延时,ADAPAYID_DEMO_00183,MEMBER_UUID_DEMO_0023,N,0.00,ORDNO_DEMO_00179,
ADAPAYID_DEMO_00074,ORDNO_DEMO_00069,14.88,4.58,2026-07-11 23:45:19,延时,ADAPAYID_DEMO_00184,0,Y,0.04,ORDNO_DEMO_00180,
ADAPAYID_DEMO_00074,ORDNO_DEMO_00069,14.88,10.30,2026-07-11 23:45:19,延时,ADAPAYID_DEMO_00184,MEMBER_UUID_DEMO_0012,N,0.00,ORDNO_DEMO_00180,
ADAPAYID_DEMO_00075,ORDNO_DEMO_00070,14.90,4.58,2026-07-11 23:45:19,延时,ADAPAYID_DEMO_00185,0,Y,0.04,ORDNO_DEMO_00181,
ADAPAYID_DEMO_00075,ORDNO_DEMO_00070,14.90,10.32,2026-07-11 23:45:19,延时,ADAPAYID_DEMO_00185,MEMBER_UUID_DEMO_0008,N,0.00,ORDNO_DEMO_00181,
ADAPAYID_DEMO_00076,ORDNO_DEMO_00071,13.80,4.38,2026-07-11 23:45:19,延时,ADAPAYID_DEMO_00186,0,Y,0.03,ORDNO_DEMO_00182,
ADAPAYID_DEMO_00076,ORDNO_DEMO_00071,13.80,9.42,2026-07-11 23:45:19,延时,ADAPAYID_DEMO_00186,MEMBER_UUID_DEMO_0002,N,0.00,ORDNO_DEMO_00182,
ADAPAYID_DEMO_00077,ORDNO_DEMO_00072,33.12,7.86,2026-07-11 23:45:20,延时,ADAPAYID_DEMO_00187,0,Y,0.08,ORDNO_DEMO_00183,
ADAPAYID_DEMO_00077,ORDNO_DEMO_00072,33.12,25.26,2026-07-11 23:45:20,延时,ADAPAYID_DEMO_00187,MEMBER_UUID_DEMO_0018,N,0.00,ORDNO_DEMO_00183,
ADAPAYID_DEMO_00078,ORDNO_DEMO_00073,12.76,4.20,2026-07-11 23:45:20,延时,ADAPAYID_DEMO_00188,0,Y,0.03,ORDNO_DEMO_00184,
ADAPAYID_DEMO_00078,ORDNO_DEMO_00073,12.76,8.56,2026-07-11 23:45:20,延时,ADAPAYID_DEMO_00188,MEMBER_UUID_DEMO_0018,N,0.00,ORDNO_DEMO_00184,
ADAPAYID_DEMO_00079,ORDNO_DEMO_00074,19.40,5.39,2026-07-11 23:45:20,延时,ADAPAYID_DEMO_00189,0,Y,0.05,ORDNO_DEMO_00185,
ADAPAYID_DEMO_00079,ORDNO_DEMO_00074,19.40,14.01,2026-07-11 23:45:20,延时,ADAPAYID_DEMO_00189,MEMBER_UUID_DEMO_0016,N,0.00,ORDNO_DEMO_00185,
ADAPAYID_DEMO_00080,ORDNO_DEMO_00075,17.66,5.08,2026-07-11 23:45:21,延时,ADAPAYID_DEMO_00190,0,Y,0.04,ORDNO_DEMO_00186,
ADAPAYID_DEMO_00080,ORDNO_DEMO_00075,17.66,12.58,2026-07-11 23:45:21,延时,ADAPAYID_DEMO_00190,MEMBER_UUID_DEMO_0018,N,0.00,ORDNO_DEMO_00186,
ADAPAYID_DEMO_00081,ORDNO_DEMO_00076,14.90,4.58,2026-07-11 23:45:21,延时,ADAPAYID_DEMO_00191,0,Y,0.04,ORDNO_DEMO_00187,
ADAPAYID_DEMO_00081,ORDNO_DEMO_00076,14.90,10.32,2026-07-11 23:45:21,延时,ADAPAYID_DEMO_00191,MEMBER_UUID_DEMO_0008,N,0.00,ORDNO_DEMO_00187,
ADAPAYID_DEMO_00082,ORDNO_DEMO_00077,22.98,6.04,2026-07-11 23:45:21,延时,ADAPAYID_DEMO_00192,0,Y,0.06,ORDNO_DEMO_00188,
